time,latitude,longitude,mag,place,type,satellite
2018-03-17,39.9114,44.5657,null,null,fire,Terra
2018-03-19,39.9153,44.5465,null,null,fire,Terra
2018-03-19,40.7932,44.4723,null,null,fire,Aqua
2018-03-19,40.7816,44.4838,null,null,fire,Aqua
2018-03-20,40.1876,44.581,null,null,fire,Aqua
2018-03-21,39.4557,45.9254,null,null,fire,Terra
2018-03-24,40.3893,44.6267,null,null,fire,Terra
2018-03-24,40.3911,44.6151,null,null,fire,Terra
2018-03-26,39.84,44.6027,null,null,fire,Terra
2018-03-27,39.4512,45.9371,null,null,fire,Aqua
2018-03-28,40.6275,44.6928,null,null,fire,Terra
2018-04-02,39.9381,44.5688,null,null,fire,Terra
2018-04-02,39.9487,44.5591,null,null,fire,Terra
2018-04-02,39.9398,44.557,null,null,fire,Terra
2018-04-05,40.5984,44.7228,null,null,fire,Aqua
2018-04-06,39.8846,44.5771,null,null,fire,Terra
2018-04-06,39.4479,45.9221,null,null,fire,Terra
2018-04-06,39.8801,44.5698,null,null,fire,Terra
2018-04-06,39.8922,44.5714,null,null,fire,Terra
2018-04-06,39.8836,44.5744,null,null,fire,Aqua
2018-04-07,40.1408,44.5612,null,null,fire,Terra
2018-04-07,39.8922,44.576,null,null,fire,Aqua
2018-04-07,39.8896,44.5616,null,null,fire,Aqua
2018-04-09,39.5078,46.1125,null,null,fire,Terra
2018-04-16,39.815,44.6482,null,null,fire,Terra
2018-04-23,40.0628,44.422,null,null,fire,Terra
2018-04-25,40.8896,44.8682,null,null,fire,Aqua
2018-04-25,40.8882,44.8522,null,null,fire,Aqua
2018-05-02,40.1707,44.4254,null,null,fire,Terra
2018-05-11,40.1436,44.4779,null,null,fire,Terra
2018-05-18,40.7781,43.8457,null,null,fire,Terra
2018-05-18,40.619,43.9694,null,null,fire,Terra
2018-05-18,40.0621,44.4199,null,null,fire,Terra
2018-05-23,40.0641,44.4138,null,null,fire,Aqua
2018-05-27,40.6205,43.9695,null,null,fire,Terra
2018-05-27,39.9585,44.5588,null,null,fire,Terra
2018-06-03,40.1661,44.2924,null,null,fire,Terra
2018-06-07,40.6175,43.9726,null,null,fire,Terra
2018-06-08,40.0602,44.4123,null,null,fire,Aqua
2018-06-08,40.062,44.424,null,null,fire,Aqua
2018-06-10,40.0978,44.327,null,null,fire,Terra
2018-06-17,39.9539,44.5543,null,null,fire,Aqua
2018-06-19,40.0661,44.4151,null,null,fire,Terra
2018-06-26,40.0965,44.3328,null,null,fire,Terra
2018-06-28,40.5459,44.962,null,null,fire,Terra
2018-06-30,39.72,45.1203,null,null,fire,Terra
2018-06-30,39.7734,45.0508,null,null,fire,Terra
2018-06-30,39.7714,45.0388,null,null,fire,Terra
2018-07-01,40.8091,44.4888,null,null,fire,Terra
2018-07-03,39.9527,44.5543,null,null,fire,Aqua
2018-07-03,40.0424,44.4155,null,null,fire,Aqua
2018-07-05,39.7488,45.1137,null,null,fire,Terra
2018-07-05,39.7511,45.1003,null,null,fire,Terra
2018-07-05,39.7605,45.1025,null,null,fire,Terra
2018-07-05,39.7694,45.0502,null,null,fire,Terra
2018-07-05,39.7732,45.0571,null,null,fire,Terra
2018-07-05,39.7755,45.0439,null,null,fire,Terra
2018-07-05,39.7695,45.1137,null,null,fire,Aqua
2018-07-05,39.756,45.1002,null,null,fire,Aqua
2018-07-05,39.7591,45.1166,null,null,fire,Aqua
2018-07-05,39.7485,45.1187,null,null,fire,Aqua
2018-07-05,39.7746,45.0557,null,null,fire,Aqua
2018-07-05,39.7677,45.0457,null,null,fire,Aqua
2018-07-05,39.7666,45.0984,null,null,fire,Aqua
2018-07-06,39.7755,45.106,null,null,fire,Terra
2018-07-06,39.7756,45.0974,null,null,fire,Terra
2018-07-06,39.7832,45.0765,null,null,fire,Aqua
